"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","457","Create New Article","api-testing","2026-05-04","passed","2026-05-04","","api-tests/basic_requests.spec.ts","",""
"","280","Error message validation for aaa","api-testing","2026-05-04","passed","2026-05-04","","api-tests/negativeTests.spec.ts","",""
"","2088","Create Update and Delete Article","api-testing","2026-05-04","passed","2026-05-04","","api-tests/smokeTest.spec.ts","",""
"","5191","Login to Conduit App","ui-tests","2026-05-04","passed","2026-05-04","","ui-tests/login.spec.js","",""
"","286","Error message validation for aaaaaaaaaaaaaaaaaaaa","api-testing","2026-05-04","passed","2026-05-04","","api-tests/negativeTests.spec.ts","",""
"","2078","Create New Article and Delete with Token","api-testing","2026-05-04","passed","2026-05-04","","api-tests/basic_requests.spec.ts","",""
"","549","Get All Articles","api-testing","2026-05-04","passed","2026-05-04","","api-tests/basic_requests.spec.ts","",""
"","357","Error message validation for a","api-testing","2026-05-04","passed","2026-05-04","","api-tests/negativeTests.spec.ts","",""
"","1557","Create and Delete Article","api-testing","2026-05-04","passed","2026-05-04","","api-tests/smokeTest.spec.ts","",""
"","608","Get Tags","api-testing","2026-05-04","passed","2026-05-04","","api-tests/smokeTest.spec.ts","",""
"","319","Error message validation for aaaaaaaaaaaaaaaaaaaaaa","api-testing","2026-05-04","passed","2026-05-04","","api-tests/negativeTests.spec.ts","",""
"","666","Get Test Tags","api-testing","2026-05-04","passed","2026-05-04","","api-tests/basic_requests.spec.ts","",""
"","538","Get Articles","api-testing","2026-05-04","passed","2026-05-04","","api-tests/smokeTest.spec.ts","",""
